PARAMETER1,PARAMTER2,PARAMETER3,Site_ID
577818.5767,522716.2953,1307212.402,SIteid4970
844388.4176,613430.5565,1526244.9640000002,SIteid4971
667356.3933,515021.7978,1801792.86,SIteid4975
848600.1941,580828.952,2166019.199,SIteid4982
522818.2289,497217.8348,1077546.975,SIteid4983
1300618.862,949398.2747,3445677.7169999997,SIteid4984
742121.8444,505870.9365,2054514.1530000002,SIteid4985
1153123.548,936637.6837,5599750.69,SIteid4988
634595.0624,365644.6871,1487068.946,SIteid4990
569912.8087,542471.4527,1384086.895,SIteid4991
592437.3212,519298.2063,2439756.393,SIteid4992
1215711.499,600370.1484,2849063.613,SIteid4994
360189.4552,298005.164,1226937.871,SIteid4995
309598.524,211942.5324,1763432.879,SIteid4996
296562.8638,295300.4811,701642.3994,SIteid4997
796202.2644,642735.4396,2938655.146,SIteid4998
288518.0595,283577.8165,453768.3757,SIteid4999
496849.1276,467191.4419,1341204.386,SIteid5005
659085.4254,590507.3018,2611620.77,SIteid5006
720124.8813,550337.1946,1574517.8390000002,SIteid5007
686188.2223,552486.3276,2475199.8430000003,SIteid5011
348339.0207,227532.3272,1182397.535,SIteid5014
625590.0331,417845.701,1766239.3490000002,SIteid5015
663386.8367,518243.6848,1669230.1830000002,SIteid5019
192205.4159,155743.1161,417802.3117,SIteid5021
1591070.446,1036555.9870000001,4233219.748,SIteid5022
686101.1170000001,351212.2538,316295.1177,SIteid5027
903156.0912,791909.9395,2444096.547,SIteid5028
952843.4963,605322.5589,2560937.308,SIteid5029
1176682.925,672763.9201,3360535.8510000003,SIteid5034
488114.4961,251129.3758,647555.3096,SIteid5035
178476.9757,162880.3639,435081.7706,SIteid5036
730105.0567,535933.6393,1405366.759,SIteid5039
807285.3889,747808.0801,2209657.858,SIteid5040
1788341.1840000001,1244644.933,6412834.454,SIteid5041
532401.9265,349963.1215,1406151.612,SIteid5044
941353.6019,762963.406,3559411.192,SIteid5046
1174260.217,851634.1738,2766713.835,SIteid5047
486320.8908,419302.0332,1820223.9630000002,SIteid5048
2157016.696,1785443.449,8511743.793,SIteid5049
308006.2652,208159.2722,574401.3028,SIteid5052
1019286.094,619837.6164,2494888.3680000002,SIteid5061
365487.4226,331534.2788,1326444.166,SIteid5064
899126.9736,491450.7588,2242854.914,SIteid5066
1095588.336,560248.0172,2812666.1939999997,SIteid5068
924848.3869,619299.6329,2188116.544,SIteid5069
1039755.89,916674.734,2241825.325,SIteid5070
238232.3072,211169.3586,607390.7553,SIteid5071
674068.9982,654032.0397,2552829.704,SIteid5073
522281.4064,486895.0251,1480415.8730000001,SIteid5076
433577.22,294500.1685,1053761.617,SIteid5078
726683.1798,523314.525,1163711.472,SIteid5079
728068.2446,542194.0983,2353001.202,SIteid5080
1101352.986,853607.7116,3175578.604,SIteid5081
596013.8458,410592.9552,2479810.062,SIteid5084
1850495.395,1640899.79,5030355.614,SIteid5089
103299.6511,94121.67887999999,59053.825079999995,SIteid5093
759668.9449,702998.9433,2376983.001,SIteid5098
419313.6961,278755.1925,1230374.304,SIteid5100
491156.8614,368564.7261,1672121.8669999999,SIteid5107
1327472.199,1207137.456,5449263.4229999995,SIteid5109
296367.4931,255869.2244,892295.0665,SIteid5115
247335.082,215587.4578,913296.7555,SIteid5117
244700.4997,187050.0431,1341284.436,SIteid5119
166675.9866,163463.2112,439515.7141,SIteid5122
308041.8573,242753.7938,718809.0851,SIteid5125
535869.2963,470144.2774,1905191.9840000002,SIteid5129
622907.9149,372168.0289,1235360.5559999999,SIteid5131
452275.3908,334784.8464,678583.9581,SIteid5132
535110.1365,458656.0125,1604417.25,SIteid5133
596416.7861,508824.7362,1735464.539,SIteid5134
773683.7158,696182.238,3218951.08,SIteid5137
758534.2589,501475.8103,2055803.7659999998,SIteid5138
719156.6093,665962.7336,2997799.461,SIteid5143
898645.0862,706263.4276,2136552.8619999997,SIteid5148
387116.6291,337985.4053,1126185.086,SIteid5149
745602.1989,621102.9286,2602534.704,SIteid5153
387115.8191,346066.2234,1173540.764,SIteid5154
686819.7259,405212.44899999996,1476582.674,SIteid5155
773259.7262,498075.8477,2289257.931,SIteid5156
790068.5737,720258.4095,2392778.474,SIteid5160
475925.686,442616.2759,1415462.907,SIteid5165
1727027.736,920930.5583,4857886.681,SIteid5167
1499183.8269999998,1013969.786,3526164.289,SIteid5169
1025832.4870000001,809607.7459,3166615.9869999997,SIteid5170
290934.0282,220225.8358,593265.5899,SIteid5171
804611.7115,526493.3861,2100629.667,SIteid5174
390362.7686,384734.0076,1374899.0590000001,SIteid5176
770110.81,402257.7584,1645068.499,SIteid5178
549963.4412,478450.8439,2765620.475,SIteid5179
285437.4812,249552.4986,1374607.0890000002,SIteid5182
528591.3749,460870.4431,1649376.6930000002,SIteid5185
388136.6353,369011.3588,1403347.581,SIteid5186
399713.4721,328923.941,700689.1301,SIteid5187
588693.0332,536396.5477,2058108.385,SIteid5188
703676.8183,376758.0884,1995364.0480000002,SIteid5193
677375.8211,435079.8372,1695547.815,SIteid5195
811079.3995,646645.2417,3285670.195,SIteid5196
626482.5758,599482.3264,2342024.77,SIteid5197
864090.4037,396333.8674,1812965.229,SIteid5203
968368.7381,514771.5632,2219665.795,SIteid5206
336930.2464,302376.4726,779954.3856,SIteid5211
242854.24,202826.3162,640689.4769,SIteid5212
732970.9339,498368.23799999995,2740999.153,SIteid5213
468656.4419,381194.4945,2221268.895,SIteid5216
179652.5786,164326.3188,340576.1723,SIteid5221
1420947.8190000001,697582.0097,3584853.8680000002,SIteid5225
432042.3565,335256.2306,1459879.461,SIteid5227
571219.2659,380931.2203,1712865.491,SIteid5228
983934.5411,786824.4351,3030304.617,SIteid5229
643470.6455,513167.0654,1916226.602,SIteid5232
804730.3853,699788.5711,2605864.606,SIteid5234
756219.8861,616270.8111,2850901.545,SIteid5235
443018.2942,407569.001,1236518.396,SIteid5236
1031806.7420000001,722294.4194,3413794.562,SIteid5239
1040590.572,542021.7667,2448958.499,SIteid5241
564951.9579,477194.1503,1261217.188,SIteid5242
570792.9836,453977.3355,2559893.788,SIteid5243
308589.2829,273042.7075,1272248.773,SIteid5247
1006103.089,827145.1085,2692731.713,SIteid5250
789629.5035,520458.1243,1919954.118,SIteid5251
555472.8394,392346.5805,1309557.0729999999,SIteid5259
950775.8708,654646.6297,2576356.421,SIteid5261
521055.8357,482670.4235,2897843.728,SIteid5263
618248.8093,315681.4265,1215411.928,SIteid5264
995927.0502,658283.4488,2878960.473,SIteid5270
167771.1543,162783.3028,556093.0497,SIteid5271
593769.2409,503187.2942,1496628.834,SIteid5273
445579.0571,387360.3092,1246760.341,SIteid5277
904378.1411,855302.1734,2375299.544,SIteid5278
461100.4211,310231.1383,669804.3347,SIteid5282
385293.6497,347063.1608,773010.1742,SIteid5285
1299533.674,1085200.854,3499331.018,SIteid5288
839162.5889,753628.4749,3107313.337,SIteid5289
527427.7579,426148.2001,1697210.198,SIteid5291
346368.1799,319057.2967,1143110.128,SIteid5293
496844.542,381577.7411,1242657.6570000001,SIteid5294
709802.3357,651040.9467,1744546.229,SIteid5295
1308874.0590000001,985416.9984,3481043.95,SIteid5297
236963.0251,211502.1686,1201177.81,SIteid5300
231376.3348,212319.0835,589306.2177,SIteid5302
564341.6644,388057.2585,1600254.799,SIteid5304
820367.2005,515879.5141,2418789.648,SIteid5307
655114.373,567566.5271,1986804.969,SIteid5308
965966.4772,778300.6365,3502126.452,SIteid5309
505467.8419,377941.5922,1339762.871,SIteid5311
410384.1112,346756.5515,1164400.429,SIteid5313
1276569.6090000002,880275.9956,3486387.433,SIteid5321
476203.5908,371599.2952,1235844.494,SIteid5323
602928.6065,265548.4547,1007732.944,SIteid5324
1180746.1090000002,882527.5544,4340635.075,SIteid5325
801077.7884,509364.0775,2296830.509,SIteid5326
406900.7085,404291.907,1189288.02,SIteid5327
613849.52,434249.6854,1201897.717,SIteid5328
1308003.242,867510.9329,4049834.3589999997,SIteid5329
1011313.062,626419.6626,2240386.83,SIteid5331
951828.0828,598745.2181,2566453.863,SIteid5336
408945.1279,264319.971,989437.0337,SIteid5337
904920.4191,682893.3429,3332560.028,SIteid5338
1246702.871,1047532.429,3168398.189,SIteid5340
1090208.897,1002591.628,4433089.554,SIteid5346
165122.6238,134212.9613,163132.0483,SIteid5347
1283418.749,947103.0465,3561422.077,SIteid5352
593771.5959,459916.1711,1806080.22,SIteid5355
454376.2791,426569.5888,2096780.77,SIteid5357
1316865.767,898234.8194,4562666.364,SIteid5358
357978.8818,223160.4752,721154.6269,SIteid5362
227627.3134,194894.89899999998,567770.2272,SIteid5364
517923.9418,412497.64200000005,2047969.9,SIteid5365
745050.9171,650102.8926,2939646.92,SIteid5368
517343.786,491351.6858,1839969.6269999999,SIteid5370
926098.0499,600529.0174,2262414.527,SIteid5372
609056.3387,502500.1247,1898222.295,SIteid5373
591447.9689,441011.3892,2189330.357,SIteid5374
157288.034,129936.664,326562.8655,SIteid5375
527212.7154,489526.2181,1038351.185,SIteid5377
141625.4194,126581.2592,300300.6261,SIteid5378
601117.1841,561733.7378,1417489.5980000002,SIteid5383
1605977.4619999998,965396.1955,5046976.594,SIteid5385
1665393.631,999532.7692,5218749.982,SIteid5387
860449.9094,746720.0447,2307756.696,SIteid5390
844605.9413,668477.3509,2755084.9060000004,SIteid5391
1218088.053,913779.3085,3294593.3589999997,SIteid5396
819909.6347,419501.8495,1990748.1940000001,SIteid5400
647856.8724,465519.9447,1746755.1819999998,SIteid5407
550357.8769,470832.9286,1731223.405,SIteid5408
244353.2934,196211.0819,872170.453,SIteid5410
1179049.692,784107.5887,2265826.164,SIteid5411
603092.1049,542079.9672,1775699.101,SIteid5412
482816.3012,450821.2445,1924635.271,SIteid5417
986741.5683,898049.3647,3643730.2989999996,SIteid5419
142990.2919,127543.0986,193958.96,SIteid5420
225129.6134,200321.7653,779848.9971,SIteid5422
558061.8398,496089.323,1476291.455,SIteid5423
325584.858,312439.1742,1328830.492,SIteid5425
555283.2457,440567.4642,1740814.8930000002,SIteid5428
1063544.2959999999,753661.9509,3606591.841,SIteid5430
374168.033,209567.1925,686363.3842,SIteid5431
806473.0566,565968.6510000001,1891609.687,SIteid5432
687774.3731,627822.3381,2625722.663,SIteid5433
611928.5881,530120.7448,1187091.127,SIteid5435
938400.7387,750087.2752,2219922.326,SIteid5437
733220.4341,626646.5082,2630727.906,SIteid5438
267092.3159,210961.8367,842458.8617,SIteid5440
794934.4940000001,681490.1371,1707921.596,SIteid5452
135923.5937,128049.179,247359.0816,SIteid5455
304071.4899,236499.3483,1011042.262,SIteid5461
981376.5619,469681.1534,2056228.4719999998,SIteid5464
393887.5133,336916.1073,1442631.8569999998,SIteid5465
692484.3038,395860.7306,1799026.259,SIteid5468
1051611.606,853877.935,2439782.079,SIteid5470
